"","data.GSM545818","data.GSM545819","data.GSM545820","data.GSM545821","data.GSM545822","data.GSM545823","data.GSM545824","data.GSM545825","data.GSM545826","data.GSM545827","data.GSM545828","data.GSM545829","data.GSM545830","data.GSM545831","data.GSM545832","data.GSM545833","data.GSM545834","data.GSM545835","data.GSM545836","data.GSM545837","data.GSM545838","data.GSM545839","data.GSM545840","data.GSM545841","data.GSM545842","data.GSM545843","data.GSM545845"
"ENTREZID:1359",3.459432,3.57289,3.321928,2.292782,2.70044,2.321928,2.201634,2.608809,2.765535,4.300124,2.584963,2.608809,4.738768,2.608809,3.121015,5.719731,5.514122,6.716991,5.70044,4.842979,5.329124,6.35931,4.916477,6.199672,5.185867,5.760221,6.802193
"ENTREZID:4057",3.689299,3.523562,3.035624,6.441284,2.944858,2.944858,4.485427,3.185867,2.944858,3.446256,3.087463,2.827819,4.536053,4.1127,3,6.968091,7.16088,8.319221,7.276124,8.811535,8.256445,7.95594,5.070389,8.470862,8.020147,5.842979,8.659282
"ENTREZID:157574 /// 55893",4.744161,5.205549,5.108524,5.070389,5.357552,4.770829,5.017922,4.542258,4.371559,4.722466,4.378512,5.251719,5.596935,5.357552,5.385431,6.649615,7.336283,6.5157,6.491853,6.996615,6.632268,6.994353,6.470862,6.32373,6.392317,5.675251,5.50462
"ENTREZID:3039 /// 3040",14.518,13.87796,13.29832,11.31311,13.93836,13.38192,13.19416,13.32153,13.12242,13.40091,14.37665,11.68995,12.99663,12.70418,12.02908,15.68256,15.4853,15.37639,15.6198,15.47687,15.55651,15.47159,15.52012,15.49453,15.17201,15.19786,15.09949
"ENTREZID:50486",3.754888,6.106432,5.542258,4.944858,4.426265,5.209453,6.244126,4.902074,4.0268,4.827819,3.053111,4.1127,5.578939,3.867896,3.185867,8.010668,7.023477,7.810572,7.017922,7.788555,7.863567,6.559186,7.271463,8.753551,7.718362,7.272397,6.161888
"ENTREZID:6947",3.916477,4.529821,3.137504,3.378512,3.608809,3.620586,3.722466,3.472488,3.232661,5.940167,3.548437,3.035624,4.705978,3.247928,3.035624,5.990955,6.630813,6.754888,6.32553,5.133399,6.255501,6.185867,5.232661,7.522778,5.104337,5.495056,6.004501
"ENTREZID:100134445",7.495056,8.124121,8.596935,8.804131,8.190319,7.46842,8.186362,8.179909,7.658926,8.422906,7.93251,9.271463,8.667112,7.803485,7.645298,10.09421,9.945151,8.983279,10.053111,10.234458,10.30572,9.742478,10.809125,10.620586,9.261155,9.528845,8.883865
"ENTREZID:378938",10.97154,11.43176,11.74559,11.5396,11.18438,10.91147,11.52801,11.31939,10.9629,11.23506,11.18047,12.23793,11.648,11.60344,10.84682,14.87744,14.64485,14.1786,15.25007,15.40092,15.15329,14.8611,15.21764,15.12033,12.77643,11.53357,11.81045
"ENTREZID:3042",4.765535,4.760221,4.590961,3.689299,4.263034,3.711495,3.944858,4.678072,4.510962,4.689299,5.422906,3.689299,4.842979,3.797013,4.201634,8.105909,7.947199,6.1918,9.369597,7.361066,11.551228,6.467606,7.584963,7.635899,5.402586,6.722466,7.328226
"ENTREZID:989",5.649615,5.446256,5.937815,5.904484,5.683696,6.046578,6.013462,5.57289,6.230741,5.738768,5.620586,6.426265,5.797013,5.860466,5.705978,7.689299,7.872213,7.983564,7.414474,7.361066,7.508587,7.874674,7.247928,7.649615,6.224966,6.228819,6.143638
"ENTREZID:3045",6.953032,5.744161,5.399171,3.765535,5.820179,5.185867,4.69488,4.754888,5.141596,5.177918,8.041659,4.070389,5.145677,4.93546,4.161888,10.15089,9.559186,8.556889,9.968955,9.067972,14.498488,9.430871,9.448116,10.167293,6.416164,8.665691,8.378512
"ENTREZID:51735 /// 96459",6.997744,6.88996,7.059615,6.83289,6.72792,7.132371,6.34163,6.93546,6.990955,7.315602,6.882643,7.593951,6.137504,7.719731,6.73471,8.416586,8.451623,8.574783,7.660353,8.647818,7.968667,7.617651,8.392317,8.008429,7.583459,7.917074,7.731319
"ENTREZID:283663",6.548437,4.465974,6.259272,6.651052,7.801547,8.342964,7.361066,7.985273,6.687901,4.566815,7.138528,7.166916,5.520422,7.058533,6.836682,9.05745,10.583083,9.14083,9.48079,9.316282,9.917969,9.587402,10.100005,9.070121,8.806389,7.988117,8.415319
"ENTREZID:1178",7.552285,7.657497,6.434628,4.643856,6.490249,3.916477,6.230741,7.0917,5.872829,9.0268,5.292782,4.872829,8.824322,6.183883,5.336283,8.899357,9.306517,10.463627,9.742141,8.767191,8.613605,10.274262,8.966073,9.811696,9.561479,9.317865,10.47472
"ENTREZID:1232",3.733354,3.990955,4.008989,3.608809,3.754888,3.510962,2.944858,3.666757,3.485427,4.201634,3.472488,3.666757,3.916477,3.485427,3.217231,5.209453,4.986411,5.786596,3.57289,4.862947,4.153805,5.635174,4.791814,5.197708,4.872829,5.074677,6.100137
"ENTREZID:932",5.013462,4.89724,4.620586,5.031219,4.292782,3.432959,4.857981,4.786596,3.643856,5.529821,3.906891,4.371559,5.189825,3.485427,4.357552,5.446256,5.902074,6.548437,5.990955,5.860466,6.230741,6.668176,5.022368,6.53294,6.965784,6.548437,7.668176
"ENTREZID:3047 /// 3048",5.197708,6.649615,5.201634,3.185867,5.551516,4.852998,7.16088,5.281698,6.362821,8.056909,7.462707,4.1127,5.289097,4.314697,3.321928,9.284246,8.49865,10.382408,9.451005,9.089848,12.391942,9.024032,10.685712,10.953614,6.355792,8.033423,8.751544
"ENTREZID:285172",7.415319,7.297375,7.169925,7.16792,7.186857,7.206526,6.987548,7.59768,7.411935,7.188836,7.208478,7.633722,6.507795,7.525912,7.256445,8.816664,8.545737,7.874059,8.517669,9.027077,8.514911,8.806389,9.094342,8.759555,7.489447,7.702519,7.609548
"ENTREZID:84513",5.993221,5.733354,5.593951,5.880196,6.352264,5.986411,6.015694,5.974988,6.16792,5.209453,6.05745,5.73064,5.804776,5.599913,5.988685,6.753551,8.221104,6.704595,7.213347,6.872829,7.925999,7.599169,7.543032,7.080018,6.400879,6.346957,6.429616
"ENTREZID:115350",6.534497,3.548437,4.852998,5.517276,7.052025,7.491853,6.296457,7.194757,5.488644,3.887525,6.102238,5.137504,4.292782,5.629357,5.675251,8.180904,9.713902,8.059615,9.057992,7.785943,8.828771,9.30629,8.287712,7.476544,7.853621,7.22207,7.852998
"ENTREZID:7398",7.953032,7.846744,7.742141,7.741467,7.651052,7.745506,7.581201,7.834155,8.083213,7.760886,7.93251,8.236014,7.517276,8.140574,7.795066,9.737585,9.366978,8.906891,9.596562,10.184379,9.882949,9.480184,9.760554,9.982851,7.871597,8.268659,8.035074
"ENTREZID:1116",3.364572,3.378512,3.392317,3.765535,3.733354,3.765535,3.722466,3.405992,3.336283,3.837943,3.678072,3.560715,3.916477,3.754888,3.678072,5.773469,3.963474,4.1127,4.485427,6.584963,5.165912,5.165912,3.817623,5.32553,5.289097,5.357552,5.501439
"ENTREZID:677811",4.247928,5.972693,6.60733,5.76288,4.584963,4.981853,6.392317,5.963474,4.797013,4.754888,3.916477,5.940167,5.894818,4.620586,4.807355,7.223036,7.503826,6.21529,7.874059,7.016808,7.820179,7.021258,7.914086,8.157852,6.697663,6.795715,6.223036
"ENTREZID:7050",4.560715,4.472488,4.867896,4.716991,4.017922,3.722466,4.392317,4.590961,4.185867,3.807355,3.419539,3.70044,2.925999,3.321928,4.419539,4.705978,5.581954,5.116864,4.733354,5.100137,5.177918,5.725196,5.587965,5.213347,6.102238,5.678072,5.557655
"ENTREZID:820",4.439623,5.189825,4.638074,5.263034,4.83289,4.419539,5.181898,4.177918,4.523562,4.852998,4.137504,4.193772,5.0268,4.292782,4.72792,5.773469,5.940167,5.968091,5.520422,6.175924,5.947199,5.885086,4.882643,7.059615,6.371559,5.169925,7.187847
"ENTREZID:3495",6.055282,3.247928,5.392317,5.247928,7.330917,8.335837,6.540709,7.926593,5.916477,3.776104,6.031219,7.432124,4.807355,5.89724,6.424586,9.148477,10.759306,7.968667,10.254556,8.543805,10.023754,9.706496,9.510962,8.166916,8.557655,9.729791,7.230741
"ENTREZID:383",2.722466,2.722466,2.678072,3.510962,2.906891,2.722466,3.121015,2.678072,2.632268,2.906891,2.655352,2.70044,2.906891,2.678072,2.655352,4.517276,4.649615,4.201634,3.307429,5.053111,4.548437,4.472488,2.678072,4.887525,4.263034,2.786596,4.649615
"ENTREZID:5074",4.862947,4.560715,3.807355,4.472488,5.812498,4.749534,4.807355,3.963474,4.716991,3.608809,4.649615,4.263034,3.201634,4.842979,4.350497,5.296457,6.768184,5.995485,5.60585,5.683696,6.033423,6.499846,5.73064,5.307429,5.754888,5.173927,5.84549
"ENTREZID:8991",2.981853,2.584963,2.584963,2.560715,2.510962,2.560715,2.560715,2.560715,2.560715,2.536053,3.169925,2.584963,2.765535,2.584963,2.536053,6.055282,4.596935,5.201634,5.422906,6.011227,10.659639,5.850499,5.526695,6.972693,2.847997,4.70044,4.169925
"ENTREZID:9834",4.655352,2.169925,3.247928,3.405992,3.643856,4.201634,3.847997,5.017922,2.744161,2.169925,4.095924,4.385431,2.201634,3.392317,3.536053,5.137504,6.854245,6.011227,4.760221,4.954196,6.416164,5.749534,6.329124,5.307429,4.350497,4.995485,5.429616
"ENTREZID:212",4.968091,3.378512,3.378512,2.655352,3.121015,3.153805,2.867896,3.017922,3.137504,3,5.752213,2.405992,3.169925,3.137504,2.405992,7.703211,7.67101,6.812498,8.510171,7.520422,12.793847,6.982994,7.894818,8.343852,3.153805,6.261155,4.419539
"ENTREZID:51575",6.540709,6.957682,7.475733,7.22207,7.119979,6.748193,6.770829,6.802193,7.096979,7.012345,6.865424,7.522778,7.088523,7.158862,7.036723,8.647818,8.270529,7.951868,8.79539,9.444601,8.79279,8.421644,9.179909,9.012904,6.813781,7.461889,7.531381
"ENTREZID:3067",3.419539,3.57289,3.201634,3.185867,3.217231,3.169925,3.232661,3.247928,3.786596,4.357552,3.485427,2.981853,4.485427,3.017922,3.405992,5.517276,5.1127,4.632268,4.78136,4.104337,3.837943,5.217231,3.536053,5.314697,5.181898,5.013462,6.207502
"ENTREZID:286272",3.087463,3.247928,4.224966,2.786596,3.364572,3.321928,3.459432,4.270529,3.232661,3.277985,3.472488,3.632268,3.247928,4.044394,3.89724,5.916477,5.209453,4.523562,5.318317,5.251719,5.536053,4.852998,5.842979,6.015694,3.121015,4.392317,4.270529
"ENTREZID:27075",8.235057,7.185867,7.844235,8.03177,8.316055,7.668176,7.856114,8.061236,8.071462,6.88996,8.163398,7.402586,7.376777,8.212375,7.991522,8.691395,10.180904,8.802839,9.785452,9.15861,10.368725,9.743993,9.460251,9.191059,8.740455,7.886916,8.396605
"ENTREZID:54881",3.857981,3.560715,3.867896,4.285402,3.807355,3.689299,4.095924,4.1127,3.57289,3.857981,3.643856,3.916477,4.129283,4.0268,3.510962,6.055282,5.830357,5.285402,5.177918,6.840463,6.646739,5.925999,6.67948,6.32553,4.300124,3.666757,4.053111
"ENTREZID:933",5.70044,4.446256,5.145677,5.510962,6.733354,7.094869,6.185867,6.870365,6.031219,3.877744,5.714246,5.108524,4.169925,5.703211,5.867896,7.312883,8.948659,7.052025,8.357552,7.584963,8.689649,8.012345,7.92303,7.162895,6.923625,6.521993,6.97728
"ENTREZID:51639",4.104337,3.405992,3.744161,3.916477,3.944858,3.744161,3.877744,3.963474,3.419539,3.536053,3.446256,3.405992,3.405992,3.485427,3.954196,4.153805,5.520422,3.432959,4.940167,4.285402,4.733354,4.596935,5.36807,5.436295,4.760221,5.236493,4.399171
"ENTREZID:29802",5.378512,3.378512,3.887525,5.263034,6.074677,4.968091,4.930737,4.584963,4.008989,3.185867,5.378512,3.548437,4.446256,4.776104,4.491853,5.97728,7.590213,5.587965,7.462707,6.078951,7.36807,6.76686,6.786596,5.149747,6.485427,5.405992,6.207502
"ENTREZID:100506653 /// 3178",7.289097,7.866661,7.824004,7.793116,7.458612,7.93487,8.125155,7.948367,7.974415,7.46842,7.505415,7.608809,8.026247,7.493455,7.086402,8.67631,9.780376,8.071462,9.100137,7.920651,8.28494,8.075212,9.525912,9.573837,8.574026,9.024863,8.633722
"ENTREZID:55437",7.453682,7.436295,7.444601,7.078951,7.523562,7.276124,7.277055,7.260214,7.394034,7.123087,7.661065,7.201634,7.582707,7.566054,7.278914,9.584963,9.464546,8.661065,9.174926,9.162391,12.269565,9.097505,9.227857,9.584963,7.332708,8.348286,7.996615
"ENTREZID:3576",3.392317,8.076281,8.174926,5.510962,4.542258,4.655352,6.296457,5.217231,5.53294,2.807355,3.744161,4.343408,5.439623,3.548437,3.104337,8.474923,8.071462,9.737923,7.0268,8.513333,8.348728,6.925999,7.61912,8.32328,7.201634,7.484622,7.283551
"ENTREZID:1879",5.285402,2.608809,3.744161,4.364572,5.804776,6.584963,4.93546,6.199672,4.145677,2.867896,4.666757,4.465974,3.596935,5.259272,4.807355,6.549977,7.567576,6.33985,6.974988,6.221104,7.558421,6.432959,6.871597,6.287251,6.08534,5.981853,6.837943
"ENTREZID:27099",5.300124,5.289097,5.498251,5.581954,4.57289,4.602884,5.133399,5.255501,5.169925,5.035624,5.205549,5.697663,5.066089,4.666757,5.539159,6.768184,5.791814,6.296457,5.768184,7.677367,5.78398,5.587965,6.397461,5.82273,6.059615,6.053111,6.412782
"ENTREZID:8028",6.395748,6.429616,6.292782,6.357552,6.383704,5.956521,6.177918,6.495056,6.199672,6.60733,6.255501,6.357552,5.617651,6.485427,5.855491,8.208478,7.711495,7.180904,8.003939,8.432959,7.646739,7.875289,8.055825,8.154312,6.217231,6.354029,6.292782
"ENTREZID:8115",6.638074,5.205549,6.624978,7.48784,7.320124,7.320124,7.148731,7.041112,6.224966,5.719731,7.376777,6.537607,6.238405,6.321928,6.514122,8.346957,10.186486,7.601399,9.603626,8.647818,9.999013,9.864186,8.715962,7.761551,8.983564,6.376777,7.651769
"ENTREZID:79368",6.61912,3.292782,4.432959,5.804776,6.758889,7.236493,6.145677,7.186857,5.381975,4.277985,5.563768,5.129283,4.72792,5.968091,5.675251,7.73064,8.556123,7.260214,7.763544,7.702519,8.227375,8.102238,8.024032,7.080018,6.768184,6.769507,7.159871
"ENTREZID:55536",7.194757,5.469235,6.74685,5.84549,7.014578,7.174926,6.232661,6.795715,6.726559,5.860466,7.174926,6.575917,7.244126,7.613974,6.997744,7.912889,8.960581,7.820179,8.179412,7.750205,9.11244,7.982994,8.627534,8.401733,7.330917,7.025693,7.514911
"ENTREZID:3574",4.292782,3.392317,3.722466,4.802193,4.292782,4.300124,3.786596,3.906891,3.596935,3.596935,3.722466,4.478972,4.044394,3.944858,3.722466,5.0268,5.708739,4.744161,5.725196,5.744161,5.84549,6.493455,5.725196,6.020147,3.70044,4.649615,4.209453
"ENTREZID:64332",8.311975,9.311067,9.37656,8.847997,8.587215,8.383704,8.539159,8.327328,8.088523,8.695576,8.613605,8.858603,9.128768,8.571753,8.235536,10.727665,10.35447,9.698357,11.083147,11.424114,10.809125,10.151143,11.355571,10.698878,8.577806,8.831941,8.805421
"ENTREZID:29123",2.536053,4.053111,5.129283,4.292782,4.137504,3.035624,3.321928,3.972693,2.981853,3.990955,3.548437,5.228819,5.307429,4.802193,2.432959,7.10957,6.350497,5.984134,6.696272,7.882032,6.509379,6.665336,7.6858,7.654636,4.343408,4.498251,4.1127
"ENTREZID:4929",5.958843,6.116864,7.333603,5.882643,4.517276,4.510962,6.145677,5.736064,5.436295,5.247928,3.137504,3.887525,5.296457,4.791814,3.827819,6.736064,6.369815,7.809929,7.451211,6.936638,8.592083,6.307429,7.282625,8.084277,6.841722,7.041112,6.61912
"ENTREZID:25780",5.862947,4.689299,4.185867,5.649615,5.84549,6.157852,5.632268,5.963474,5.289097,4.405992,5.736064,5.744161,5.004501,4.70044,5.125155,6.137504,7.234578,6.467606,6.8009,6.366322,7.45697,6.969243,7.121015,6.251719,5.944858,5.92837,6.042207
"ENTREZID:5796",2.887525,1.887525,2.786596,2.786596,3.459432,3.827819,2.765535,3.307429,2.786596,2.350497,3,2.786596,2.321928,3.307429,2.807355,4.754888,5.872829,3.776104,4.129283,4.770829,6.263034,5,4.791814,4,3.944858,2.765535,3.307429
"ENTREZID:10863",7.269594,5.93546,6.517276,6.307429,7.388017,7.844863,7.269594,7.611763,6.786596,6.369815,7.180904,6.517276,6.997744,6.397461,6.899659,7.498251,8.510171,7.934281,8.411935,7.569856,7.979568,8.392317,8.104337,7.853621,7.655352,7.305606,7.553821
"ENTREZID:4345",2.722466,2.510962,2.536053,3.201634,3.232661,3.247928,2.786596,3.217231,3.217231,2.678072,3.217231,3.217231,3.247928,3.217231,2.510962,3.754888,5.678072,3.432959,4.986411,4.385431,5.426265,5.259272,4.169925,3.405992,3.620586,3.232661,3.877744
"ENTREZID:5026",8.333603,6.472488,7.33539,7.689299,8.910493,9.705805,8.17742,9.293472,7.714932,6.79831,7.754219,7.644577,7.566054,7.951285,7.547666,9.47472,10.645388,9.415108,10.528552,9.396605,10.156462,9.980854,9.295769,8.841407,9.047124,8.990955,8.648897
"ENTREZID:1380",4.906891,4.817623,4.827819,5.678072,5.678072,5.716991,4.847997,5.469235,4.986411,4.827819,5.672425,4.733354,4.842979,5.459432,5.449561,6.571373,7.988685,5.944858,6.042207,7.216261,7.908092,6.860466,5.830357,5.776104,5.776104,5.683696,6.187847
"ENTREZID:574028",4.478972,3.916477,4.044394,4.153805,4.930737,6.004501,5.031219,5.560715,4.169925,3.867896,4.336283,4.321928,3.93546,4.399171,3.990955,5.392317,6.543805,5.672425,5.658211,5.918863,7.113742,6.305606,5.270529,5.354029,4.990955,5.193772,5.809929
"ENTREZID:619505",3.121015,3.121015,3.981853,3.536053,3.185867,3.765535,3.608809,3.990955,3.498251,3.321928,3.827819,3.560715,3.201634,3.744161,3.277985,3.722466,4.930737,4.129283,5.786596,4.277985,5.626439,3.608809,5.554589,6.462707,4.459432,5.303781,4.153805
"ENTREZID:23347",6.432959,6.65392,6.205549,6.16792,6.429616,6.236493,6.221104,6.394034,6.044394,6.528259,6.165912,6.753551,6.244126,6.669594,6.253611,9.430453,9.117643,8.159871,9.721612,10.145423,9.959712,9.076014,10.303324,9.966505,6.451211,5.768184,5.88996
"ENTREZID:55024",7.565293,6.587965,6.512543,7.15583,8.270996,8.582707,7.712871,8.602513,7.358431,5.300124,7.586465,7.0268,6.537607,7.020147,6.956521,8.570615,10.034799,8.421223,8.863257,8.632632,9.340295,9.169675,8.581954,8.472082,8.174926,8.174926,8.690347
"ENTREZID:51621",5.773469,6.125155,6.668176,6.139551,6.127221,5.760221,6.480588,5.744161,5.711495,6.661065,6.002252,6.812498,5.799605,5.914086,5.9331,8.695576,7.625709,7.224966,8.708739,9.032597,8.127736,8.847684,8.533719,8.055282,6.546894,6.147714,5.584963
"ENTREZID:11171",3.70044,4.232661,4.307429,4,4.104337,4.095924,4.017922,4.314697,3.916477,4.008989,3.972693,4.292782,4.321928,4.008989,4.224966,6.769507,6.73064,4.655352,6.841722,7.968091,8.169424,6.3733,8.728261,8.663914,4.087463,4.321928,4.247928
"ENTREZID:546",5.669594,5.954196,6.847997,6.61471,6.015694,5.862947,5.491853,5.247928,5.812498,6.048759,5.736064,7.010108,6.394034,5.773469,5.449561,8.474923,7.725877,6.931919,7.599169,9.683872,8.663914,7.719047,9.536442,8.98982,6.452859,6.439623,5.882643
"ENTREZID:55285",5.88996,6.303781,6.002252,6.035624,6.098032,6.514122,6.488644,6.149747,6.066089,6.246028,6.268659,6.311067,6.846744,6.301953,6.118941,7.874059,7.499049,6.899659,7.61912,7.84235,7.572132,7.459432,8.008429,7.787903,6.161888,6.078951,6.292782
"ENTREZID:100506653",7.316508,7.265849,7.344296,7.198691,7.334497,7.3733,7.44791,7.590213,7.423746,7.251719,7.616181,7.362821,5.436295,7.828454,7.425426,8.384568,9.129283,8.015136,8.410239,7.576673,7.745506,7.667466,8.514911,8.322379,8.375474,8.807355,8.629721
"ENTREZID:84824",7.174926,4.705978,5.554589,6.424586,7.621319,8.640245,6.874059,8.270996,6.314697,5.133399,7.096979,5.877744,5.703211,6.266787,6.157852,8.028459,9.479174,8.081617,8.946029,8.307429,9.339627,8.496255,8.411935,7.776762,7.837313,7.581201,7.941928
"ENTREZID:1088",3.232661,2.765535,2.608809,5.778734,2.536053,2.655352,4.0268,2.432959,2.584963,2.807355,2.744161,2.378512,3.070389,2.405992,2.510962,5.157852,3.972693,6.076816,3.797013,6.50462,6.477354,4.802193,2.786596,6.827819,6.426265,3.536053,6.501439
"ENTREZID:51327",4.240314,4.364572,3.655352,3.733354,4.035624,3.70044,3.666757,3.689299,3.89724,4.061776,4.364572,3.432959,3.459432,3.887525,3.711495,6.21529,5.770829,5.825277,6.687901,5.419539,10.961522,6.392317,5.719731,5.997744,4.044394,4.930737,5.197708
"ENTREZID:917",7.629357,6.826548,7.33539,8.127736,8.021813,7.512543,6.632268,7.234578,8.245077,7.911092,7.533719,8.505812,7.535275,8.151778,7.096979,8.960871,8.899357,8.870056,9.227857,9.761053,9.141341,8.858292,9.377427,9.536636,7.563768,8.01402,7.735387
"ENTREZID:441461",7.449561,7.288174,7.146696,7.582707,7.744834,7.650334,7.451211,7.292782,7.293702,7.491853,7.213347,7.406843,7.213347,7.261155,7.196725,8.543419,7.843607,8.284014,8.735048,8.414474,10.793847,8.310158,8.310158,8.555356,7.675251,8.069853,7.90147
"ENTREZID:23325",8.075747,8.345183,7.834787,7.503826,7.755555,7.665336,7.83605,7.782015,7.801547,8.037821,8.436295,8.161384,7.696968,7.927778,8.105909,10.478669,10.210184,8.99859,9.927778,10.922807,10.399064,10.285402,10.543322,10.584963,7.48784,7.696272,7.790511
"ENTREZID:66008",6.854245,7.48301,7.615446,7.587965,7.46679,7.05745,7.240314,6.73471,7.011227,7.388017,6.906891,8.102238,7.95594,7.083213,6.60585,8.776104,9.007308,7.81314,9.166414,8.912291,10.160124,8.397889,9.543032,9.039193,7.077884,7.621319,7.657497
"ENTREZID:969",9.646199,9.733693,9.62315,9.956812,9.40152,10.028735,9.956812,9.672072,9.862327,9.651949,9.179412,9.721099,9.478163,9.421223,9.190565,10.280655,11.81334,9.826072,11.604229,10.029563,10.278566,9.675428,11.343963,11.630586,10.046169,10.984205,10.858214
"ENTREZID:28387",3.776104,3.277985,3.485427,3.70044,4.285402,4.247928,4.044394,3.584963,3.548437,3.877744,3.972693,3.744161,3.655352,3.963474,3.643856,4.83289,5.277985,4.491853,5.149747,5.357552,6.523562,5.88996,4.044394,4.472488,4.542258,3.990955,4
"ENTREZID:57223",3.711495,4.405992,3.906891,3.807355,4.193772,3.378512,3.765535,3.867896,4.053111,4,3.906891,3.419539,4.300124,3.807355,3.807355,5.1127,6.34163,4.336283,5.201634,4.412782,4.760221,3.797013,6.081084,6.470862,3.877744,5.719731,5.405992
"ENTREZID:26228",6.095924,5.514122,5.916477,5.608809,6.482203,6.786596,5.551516,6.203593,5.422906,4.89724,5.381975,5.149747,4.802193,6.221104,6.183883,6.860466,8.405992,5.765535,7.660353,6.818902,7.654636,6.874059,7.706669,6.633722,6.545351,6.287251,6.714246
"ENTREZID:1667 /// 1668 /// 728358",9.466994,7.111657,7.356672,12.384811,8.213833,6.34163,10.517177,5.121015,4.678072,6.851749,7.520422,6.531381,10.36927,7.43796,8.147714,12.136414,10.250298,11.580211,10.242698,11.888249,12.533549,11.85132,8.527086,11.845255,13.229239,9.242936,12.850285
"ENTREZID:1958",2.405992,3.364572,3.217231,2.887525,2.655352,2.510962,3.392317,3.560715,3.035624,2.405992,3.307429,3.292782,3.472488,2.632268,2.678072,2.925999,3.57289,6.118941,6.36807,3.017922,6.089583,5.678072,4.137504,4.852998,3.786596,4.371559,4.292782
"ENTREZID:9360",7.708049,8.22207,8.820179,8.67772,8.590961,8.050937,8.302867,8.078418,7.864805,8.514911,8.046578,8.864496,8.417853,8.764208,7.953614,10.156462,9.742141,8.627899,9.521404,10.795715,10.178291,9.769011,10.24484,10.121145,8.216746,8.622418,8.263973
"ENTREZID:2038",3.620586,3.498251,3.510962,3.498251,3.536053,3.596935,3.498251,3.432959,3.498251,3.620586,3.608809,3.498251,3.472488,3.446256,3.608809,7.105385,6.020147,5.087463,5.587965,6.402586,10.752715,5.74685,5.173927,6.536053,3.620586,4.1127,3.744161
"ENTREZID:6328",3.857981,2.827819,2.963474,3.017922,3.472488,3.392317,3.485427,3,2.887525,3,2.925999,2.847997,2.887525,2.963474,2.944858,2.944858,6.61912,3.053111,5.121015,4.177918,5.638074,4.638074,6.08534,3.744161,5.289097,3.247928,4.776104
"ENTREZID:694",6.266787,6.431289,6.903279,6.157852,5.92837,6.400879,6.604368,6.334497,6.330917,6.419539,5.33985,6.318317,6.431289,6.457791,5.791814,7.447083,8.675251,6.141596,7.330917,7.002252,7.082149,6.478972,8.309249,8.321928,6.761551,7.309249,7.066089
"ENTREZID:3507",11.892201,9.285171,9.218442,9.797337,11.620861,11.989785,10.664892,11.469998,10.225328,9.110353,10.619486,8.658211,10.177793,10.631359,10.674104,12.87454,13.545954,11.991628,13.087612,11.594744,12.305435,12.869787,12.181773,11.143256,11.85553,10.954196,11.213165
"ENTREZID:7150",6.221104,6.462707,6.061776,5.974988,6.327328,5.791814,5.965784,5.632268,5.942515,5.683696,5.842979,6.106432,5.388878,6.083213,6.276124,7.563768,6.850499,6.34163,7.802839,8.053654,8.346957,7.432124,8.102238,7.725196,5.791814,6.151778,5.815063
"ENTREZID:100132406 /// 100288142 /// 55672",8.393176,8.405141,7.741467,7.51885,7.787903,8.217231,8.044394,8.192786,7.999436,8.538383,8.387587,7.526695,7.429616,8.376342,8.54728,9.73843,9.240791,8.895727,9.033698,10.420908,9.27123,9.328899,10.206038,9.379595,7.74685,8.142107,8.405141
"ENTREZID:2153",4.385431,6.536053,6.175924,5.498251,5.596935,5.432959,6.081084,4.882643,5.125155,5.9331,6.277985,6.159871,6.383704,4.852998,4.972693,7.927778,7.273329,6.449561,7.123087,9.060155,7.274262,8.201144,7.752213,8.047124,6.129283,5.827819,5.318317
"ENTREZID:5552",6.89845,10.576579,10.121145,8.304237,8.520422,8.560333,10.011087,9.811535,9.392103,7.894211,6.020147,8.549977,8.569856,6.902074,8.30515,9.756723,9.722637,10.296457,10.82631,10.488443,10.902224,11.166226,10.590026,10.794903,10.355792,10.3548,9.531186
"ENTREZID:971",6.390599,4.472488,5.087463,5.988685,6.640968,8.51885,6.217231,7.914684,5.9331,5.336283,5.9331,5.485427,5.121015,5.93546,5.925999,7.668176,8.920948,7.22593,8.287712,7.769507,9.096452,8.431707,7.622052,7.430453,7.036723,6.685099,6.774787
"ENTREZID:29760",7.861087,5.752213,6.776104,7.34163,7.560715,8.240791,6.969243,8.02514,7.208478,4.89724,7.523562,6.782671,6.758889,7.118941,7.552285,7.903279,9.508587,8.015136,8.599169,8.22978,9.322153,8.701133,8.511753,8.216746,7.822093,7.893605,8.257388
"ENTREZID:6497",4,4.169925,4.97728,4.786596,4.89724,4.392317,4.716991,4.465974,4.432959,4.990955,4.177918,5.078951,4.498251,4.776104,4.255501,5.904484,5.995485,6.352264,5.626439,6.394034,5.825277,6.263034,5.714246,5.892391,4.578939,4.50462,4.104337
"ENTREZID:158257",2.678072,2.906891,2.744161,2.655352,3.053111,3.137504,2.887525,3.121015,2.827819,3.485427,2.827819,3.121015,2.722466,2.722466,3,4.643856,4.185867,4.070389,4,5.472488,4.972693,4.50462,4.578939,5.314697,2.70044,2.632268,2.678072
"ENTREZID:255394",3.201634,3.722466,3.678072,3.560715,3.548437,3.510962,3.596935,3.432959,3.584963,3.263034,3.560715,3.201634,3.336283,3.944858,3.666757,5.560715,5.495056,4.300124,3.643856,5.173927,6.031219,3.643856,5.165912,5.066089,3.608809,3.632268,3.93546
