"","data.GSM545818","data.GSM545819","data.GSM545820","data.GSM545821","data.GSM545822","data.GSM545823","data.GSM545824","data.GSM545825","data.GSM545826","data.GSM545827","data.GSM545828","data.GSM545829","data.GSM545830","data.GSM545831","data.GSM545832","data.GSM545833","data.GSM545834","data.GSM545835","data.GSM545836","data.GSM545837","data.GSM545838","data.GSM545839","data.GSM545840","data.GSM545841","data.GSM545842","data.GSM545843","data.GSM545845"
"ENTREZID:2130 /// 2313",8.933986,8.79214,8.582707,8.663202,8.960292,8.833523,8.870673,8.668176,8.765203,8.946906,8.669948,8.186857,8.469642,8.60585,8.976421,7.750874,7.390599,7.195741,7.627169,6.940167,6.911692,7.216261,7.304694,7.601399,8.805099,8.543032,8.314243
"ENTREZID:10008",7.816344,8.108002,7.250772,6.818902,7.574404,7.83289,7.758889,7.195741,7.453682,7.78986,7.997179,7.024586,7.002252,7.560715,8.360189,5.89724,5.240314,5.364572,5.209453,5.526695,5.074677,5.82273,5.066089,5.584963,7.185867,7.716305,6.972693
"ENTREZID:54890",7.543805,7.525129,7.59768,7.834155,7.834155,7.608809,7.497453,7.522778,7.360189,7.427941,7.490249,7.049849,7.661065,7.460251,7.505415,5.658211,5.768184,5.940167,7.068241,5.300124,5.736064,6.449561,5.815063,5.240314,7.345183,7.195741,7.10957
"ENTREZID:51107",6.855491,6.65392,6.525129,6.289097,6.704595,7.003377,6.998872,7.116864,6.865424,7.004501,6.927185,6.171927,6.707359,6.990955,6.956521,5.311067,5.311067,5.452859,5.733354,4.857981,4.277985,5.760221,5.116864,5.736064,6.956521,6.266787,5.949535
"ENTREZID:9191",6.137504,6.77215,5.9331,6.102238,6.121015,6.024586,6.213347,6.017922,6.457791,6.1127,5.850499,6.106432,6.015694,6.205549,6.716991,4.336283,4.145677,3.57289,4.672425,4.145677,4.399171,4.78136,4.232661,4.655352,6.004501,6.125155,5.96116
"ENTREZID:29946",6.279843,6.869131,6.452859,6.483816,6.77215,5.860466,6.689299,6.259272,6.787903,5.949535,6.67948,6.366322,6.426265,6.568336,6.795715,5.165912,4.217231,5.228819,5.336283,4.968091,5.944858,5.137504,5.165912,5.189825,6.236493,6.020147,6.078951
"ENTREZID:56929",6.958843,6.390599,5.860466,6.757557,6.623516,6.070389,6.526695,6.145677,6.312883,6.608809,6.774787,6.611763,6.622052,6.911692,6.643856,4.990955,4.906891,5.658211,4.104337,5.270529,5.354029,5.392317,4.378512,4.491853,5.872829,6.106432,6.432959
"ENTREZID:6418 /// 642869",9.354029,9.33673,9.29485,9.653562,9.581201,9.547087,9.771655,9.567576,9.677191,9.759888,9.304694,9.624795,9.334273,9.642774,9.43567,7.894818,7.57289,7.054197,8.065012,8.643495,8.048214,7.627169,7.903279,8.308794,9.350718,9.481799,9.238405
"ENTREZID:65220",7.706669,7.558421,7.322829,6.887525,7.070389,6.974988,7.305606,7,7.278914,7.235536,7.514122,6.219169,7.246978,6.943687,7.824004,5.741467,6.143638,5.76288,6.640968,5.84549,6.040016,6.127221,5.78398,5.872829,7.287251,6.669594,6.224966
"ENTREZID:5216",12.92385,12.77933,12.67913,13.01773,12.80967,12.94152,12.64431,12.86637,12.81178,12.96394,12.80967,12.5652,12.64431,12.88956,12.90143,11.73923,11.59105,11.15962,11.82285,11.09843,11.14089,11.57653,11.58101,11.46102,13.03172,12.67068,12.53566
